INFO  - 2015-02-09 03:40:00.001; org.apache.solr.core.RequestHandlers; created /terms: solr.SearchHandler
INFO  - 2015-02-09 03:40:00.001; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2015-02-09 03:40:00.001; org.apache.solr.core.RequestHandlers; created /elevate: solr.SearchHandler
INFO  - 2015-02-09 03:40:00.014; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2015-02-09 03:40:00.015; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2015-02-09 03:40:00.016; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2015-02-09 03:40:00.017; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2015-02-09 03:40:00.017; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2015-02-09 03:40:00.044; org.apache.solr.update.CommitTracker; Hard AutoCommit: if uncommited for 15000ms; 
INFO  - 2015-02-09 03:40:00.044; org.apache.solr.update.CommitTracker; Soft AutoCommit: disabled
INFO  - 2015-02-09 03:40:00.051; org.apache.solr.core.SolrDeletionPolicy; SolrDeletionPolicy.onInit: commits: num=1
	commit{dir=NRTCachingDirectory(MMapDirectory@/home/sachin/Desktop/cs290N/hw1/solr-4.10.3/node2/solr/collection1/data/index lockFactory=NativeFSLockFactory@/home/sachin/Desktop/cs290N/hw1/solr-4.10.3/node2/solr/collection1/data/index; maxCacheMB=48.0 maxMergeSizeMB=4.0),segFN=segments_1,generation=1}
INFO  - 2015-02-09 03:40:00.051; org.apache.solr.core.SolrDeletionPolicy; newest commit generation = 1
INFO  - 2015-02-09 03:40:00.057; org.apache.solr.search.SolrIndexSearcher; Opening Searcher@5576e87d[collection1] main
INFO  - 2015-02-09 03:40:00.064; org.apache.solr.rest.ManagedResourceStorage$FileStorageIO; File-based storage initialized to use dir: /home/sachin/Desktop/cs290N/hw1/solr-4.10.3/node2/solr/collection1/conf
INFO  - 2015-02-09 03:40:00.064; org.apache.solr.rest.RestManager; Initializing RestManager with initArgs: {storageDir=/home/sachin/Desktop/cs290N/hw1/solr-4.10.3/node2/solr/collection1/conf}
INFO  - 2015-02-09 03:40:00.072; org.apache.solr.rest.ManagedResourceStorage; Reading _rest_managed.json using file:dir=/home/sachin/Desktop/cs290N/hw1/solr-4.10.3/node2/solr/collection1/conf
INFO  - 2015-02-09 03:40:00.075; org.apache.solr.rest.ManagedResourceStorage; Loaded LinkedHashMap at path _rest_managed.json using file:dir=/home/sachin/Desktop/cs290N/hw1/solr-4.10.3/node2/solr/collection1/conf
INFO  - 2015-02-09 03:40:00.075; org.apache.solr.rest.ManagedResource; Loaded initArgs {} for /rest/managed
INFO  - 2015-02-09 03:40:00.075; org.apache.solr.rest.RestManager; Initializing 0 registered ManagedResources
