0    [main] INFO  org.eclipse.jetty.server.Server  – jetty-8.1.10.v20130312
71   [main] INFO  org.eclipse.jetty.deploy.providers.ScanningAppProvider  – Deployment monitor /home/sachin/Desktop/Winter15/cs290N/hw1/solr-search/solr-4.10.3/node2/contexts at interval 0
81   [main] INFO  org.eclipse.jetty.deploy.DeploymentManager  – Deployable added: /home/sachin/Desktop/Winter15/cs290N/hw1/solr-search/solr-4.10.3/node2/contexts/solr-jetty-context.xml
7774 [main] INFO  org.apache.solr.common.cloud.SolrZkClient  – makePath: /configs/myconf/clustering/carrot2/lingo-attributes.xml
7818 [main] INFO  org.apache.solr.common.cloud.SolrZkClient  – makePath: /configs/myconf/spellings.txt
7840 [main] INFO  org.apache.solr.common.cloud.SolrZkClient  – makePath: /configs/myconf/_rest_managed.json
7850 [main] INFO  org.apache.solr.common.cloud.SolrZkClient  – makePath: /configs/myconf/admin-extra.menu-bottom.html
7862 [main] INFO  org.apache.solr.common.cloud.SolrZkClient  – makePath: /configs/myconf/elevate.xml
7885 [main] INFO  org.apache.solr.common.cloud.SolrZkClient  – makePath: /configs/myconf/solrconfig.xml.orig
7929 [main] INFO  org.apache.solr.common.cloud.SolrZkClient  – makePath: /configs/myconf/admin-extra.html
7961 [main] INFO  org.apache.solr.common.cloud.SolrZkClient  – makePath: /configs/myconf/solrconfig.xml
8007 [main] INFO  org.apache.solr.common.cloud.SolrZkClient  – makePath: /configs/myconf/admin-extra.menu-top.html
8053 [main] INFO  org.apache.solr.common.cloud.SolrZkClient  – makePath: /configs/myconf/synonyms.txt
8075 [main] INFO  org.apache.solr.common.cloud.SolrZkClient  – makePath: /configs/myconf/_schema_analysis_synonyms_english.json
8097 [main] INFO  org.apache.solr.common.cloud.SolrZkClient  – makePath: /configs/myconf/schema.xml
8142 [main] INFO  org.apache.solr.common.cloud.SolrZkClient  – makePath: /configs/myconf/currency.xml
8195 [main] INFO  org.apache.solr.common.cloud.SolrZkClient  – makePath: /configs/myconf/schema.xml.orig
8264 [main] INFO  org.apache.solr.common.cloud.SolrZkClient  – makePath: /configs/myconf/scripts.conf
8337 [main] INFO  org.apache.solr.core.CoresLocator  – Looking for core definitions underneath /home/sachin/Desktop/Winter15/cs290N/hw1/solr-search/solr-4.10.3/node2/solr
8357 [main] INFO  org.apache.solr.core.CoresLocator  – Found core collection1 in /home/sachin/Desktop/Winter15/cs290N/hw1/solr-search/solr-4.10.3/node2/solr/collection1/
8357 [main] INFO  org.apache.solr.core.CoresLocator  – Found 1 core definitions
8361 [coreLoadExecutor-6-thread-1] INFO  org.apache.solr.cloud.ZkController  – publishing core=collection1 state=down collection=collection1
8362 [coreLoadExecutor-6-thread-1] INFO  org.apache.solr.cloud.ZkController  – numShards not found on descriptor - reading it from system property
8386 [coreLoadExecutor-6-thread-1] INFO  org.apache.solr.cloud.ZkController  – look for our core node name
8388 [zkCallback-2-thread-1] INFO  org.apache.solr.cloud.DistributedQueue  – LatchChildWatcher fired on path: /overseer/queue state: SyncConnected type NodeChildrenChanged
8398 [OverseerStateUpdate-93598161989009408-127.0.1.1:8983_solr-n_0000000000] INFO  org.apache.solr.cloud.Overseer  – Update state numShards=1 message={
  "operation":"state",
  "numShards":"1",
  "shard":null,
  "roles":null,
  "state":"down",
  "core":"collection1",
  "collection":"collection1",
  "node_name":"127.0.1.1:8983_solr",
  "base_url":"http://127.0.1.1:8983/solr"}
8398 [OverseerStateUpdate-93598161989009408-127.0.1.1:8983_solr-n_0000000000] INFO  org.apache.solr.cloud.Overseer  – Create collection collection1 with shards [shard1]
8409 [OverseerStateUpdate-93598161989009408-127.0.1.1:8983_solr-n_0000000000] INFO  org.apache.solr.cloud.Overseer  – Assigning new node to shard shard=shard1
8439 [zkCallback-2-thread-1] INFO  org.apache.solr.common.cloud.ZkStateReader  – A cluster state change: WatchedEvent state:SyncConnected type:NodeDataChanged path:/clusterstate.json, has occurred - updating... (live nodes size: 1)
9387 [coreLoadExecutor-6-thread-1] INFO  org.apache.solr.cloud.ZkController  – waiting to find shard id in clusterstate for collection1
9388 [coreLoadExecutor-6-thread-1] INFO  org.apache.solr.cloud.ZkController  – Check for collection zkNode:collection1
9391 [coreLoadExecutor-6-thread-1] INFO  org.apache.solr.cloud.ZkController  – Creating collection in ZooKeeper:collection1
9391 [coreLoadExecutor-6-thread-1] INFO  org.apache.solr.cloud.ZkController  – Setting config for collection:collection1 to myconf
9392 [coreLoadExecutor-6-thread-1] INFO  org.apache.solr.common.cloud.SolrZkClient  – makePath: /collections/collection1
9451 [coreLoadExecutor-6-thread-1] INFO  org.apache.solr.common.cloud.ZkStateReader  – Load collection config from:/collections/collection1
9456 [coreLoadExecutor-6-thread-1] INFO  org.apache.solr.common.cloud.ZkStateReader  – path=/collections/collection1 configName=myconf specified config exists in ZooKeeper
9457 [coreLoadExecutor-6-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – new SolrResourceLoader for directory: '/home/sachin/Desktop/Winter15/cs290N/hw1/solr-search/solr-4.10.3/node2/solr/collection1/'
9565 [coreLoadExecutor-6-thread-1] INFO  org.apache.solr.core.SolrConfig  – Adding specified lib dirs to ClassLoader
9568 [coreLoadExecutor-6-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/sachin/Desktop/Winter15/cs290N/hw1/solr-search/solr-4.10.3/contrib/extraction/lib/poi-ooxml-3.10.1.jar' to classloader
9568 [coreLoadExecutor-6-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/sachin/Desktop/Winter15/cs290N/hw1/solr-search/solr-4.10.3/contrib/extraction/lib/xz-1.4.jar' to classloader
9568 [coreLoadExecutor-6-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/sachin/Desktop/Winter15/cs290N/hw1/solr-search/solr-4.10.3/contrib/extraction/lib/jhighlight-1.0.jar' to classloader
9568 [coreLoadExecutor-6-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/sachin/Desktop/Winter15/cs290N/hw1/solr-search/solr-4.10.3/contrib/extraction/lib/pdfbox-1.8.4.jar' to classloader
9568 [coreLoadExecutor-6-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/sachin/Desktop/Winter15/cs290N/hw1/solr-search/solr-4.10.3/contrib/extraction/lib/jempbox-1.8.4.jar' to classloader
9569 [coreLoadExecutor-6-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/sachin/Desktop/Winter15/cs290N/hw1/solr-search/solr-4.10.3/contrib/extraction/lib/icu4j-53.1.jar' to classloader
9569 [coreLoadExecutor-6-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/sachin/Desktop/Winter15/cs290N/hw1/solr-search/solr-4.10.3/contrib/extraction/lib/poi-ooxml-schemas-3.10.1.jar' to classloader
9569 [coreLoadExecutor-6-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/sachin/Desktop/Winter15/cs290N/hw1/solr-search/solr-4.10.3/contrib/extraction/lib/isoparser-1.0-RC-1.jar' to classloader
9569 [coreLoadExecutor-6-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/sachin/Desktop/Winter15/cs290N/hw1/solr-search/solr-4.10.3/contrib/extraction/lib/apache-mime4j-core-0.7.2.jar' to classloader
