INFO  - 2015-02-08 19:48:44.105; org.apache.solr.core.RequestHandlers; created /update/json: org.apache.solr.handler.UpdateRequestHandler
INFO  - 2015-02-08 19:48:44.105; org.apache.solr.core.RequestHandlers; created /update/csv: org.apache.solr.handler.UpdateRequestHandler
INFO  - 2015-02-08 19:48:44.106; org.apache.solr.core.RequestHandlers; created /update/json/docs: org.apache.solr.handler.UpdateRequestHandler
INFO  - 2015-02-08 19:48:44.111; org.apache.solr.core.RequestHandlers; created /select: solr.SearchHandler
INFO  - 2015-02-08 19:48:44.111; org.apache.solr.core.RequestHandlers; created /selectd: solr.SearchHandler
INFO  - 2015-02-08 19:48:44.111; org.apache.solr.core.RequestHandlers; created /query: solr.SearchHandler
INFO  - 2015-02-08 19:48:44.113; org.apache.solr.core.RequestHandlers; created /get: solr.RealTimeGetHandler
INFO  - 2015-02-08 19:48:44.114; org.apache.solr.core.RequestHandlers; created /export: solr.SearchHandler
INFO  - 2015-02-08 19:48:44.114; org.apache.solr.core.RequestHandlers; created /browse: solr.SearchHandler
WARN  - 2015-02-08 19:48:44.115; org.apache.solr.core.RequestHandlers; Multiple requestHandler registered to the same name: /update ignoring: org.apache.solr.handler.UpdateRequestHandler
INFO  - 2015-02-08 19:48:44.116; org.apache.solr.core.RequestHandlers; created /update: solr.UpdateRequestHandler
INFO  - 2015-02-08 19:48:44.116; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.extraction.ExtractingRequestHandler
INFO  - 2015-02-08 19:48:44.117; org.apache.solr.core.RequestHandlers; created /update/extract: solr.extraction.ExtractingRequestHandler
INFO  - 2015-02-08 19:48:44.117; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.FieldAnalysisRequestHandler
INFO  - 2015-02-08 19:48:44.117; org.apache.solr.core.RequestHandlers; created /analysis/field: solr.FieldAnalysisRequestHandler
INFO  - 2015-02-08 19:48:44.117; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.DocumentAnalysisRequestHandler
INFO  - 2015-02-08 19:48:44.117; org.apache.solr.core.RequestHandlers; created /analysis/document: solr.DocumentAnalysisRequestHandler
INFO  - 2015-02-08 19:48:44.119; org.apache.solr.core.RequestHandlers; created /admin/: solr.admin.AdminHandlers
INFO  - 2015-02-08 19:48:44.122; org.apache.solr.core.RequestHandlers; created /admin/ping: solr.PingRequestHandler
INFO  - 2015-02-08 19:48:44.124; org.apache.solr.core.RequestHandlers; created /debug/dump: solr.DumpRequestHandler
